T,wavelet-LHL_glcm_Imc1,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,squareroot_glszm_SmallAreaLowGrayLevelEmphasis,logarithm_firstorder_RootMeanSquared,squareroot_firstorder_RootMeanSquared,exponential_glrlm_RunLengthNonUniformity,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,wavelet-HLH_glcm_MCC,log-sigma-2-0-mm-3D_firstorder_Median,wavelet-HHL_glcm_InverseVariance,squareroot_firstorder_Skewness,exponential_glszm_LowGrayLevelZoneEmphasis,log-sigma-1-0-mm-3D_firstorder_Skewness,exponential_glcm_Imc2,exponential_glszm_SmallAreaEmphasis,logarithm_firstorder_Uniformity
0,-0.0938908340171885,162.28339260392832,0.0002828571757798,1249.7849602233173,928.7365482468924,2391.3575929792464,1288.1838831914788,0.7513047148248988,-1.2401325106620789,0.4106756688719557,-12.326861233880098,0.3647660818713449,-3.2251281338894326,0.3584725489477689,0.1423357237026732,0.4772222403792751
1,-0.0909970182259852,165.60511164575848,0.000384084095603,900.398485211843,766.3959588698037,3366.724976248625,1256.0957039459329,0.7553430372578409,-1.7781044840812683,0.4122146464771957,-12.40412425185082,0.0921492381934627,-3.0420900053653965,0.4869297196949748,0.2763605357734817,0.5104853822304345
2,-0.089372283176228,152.8035433279784,0.0003608795467773,968.0462352855948,800.2966242930075,2810.0719851240724,1227.0851630867026,0.7245960586354582,-1.5828984379768372,0.4107180248754657,-12.38276030268028,0.1468783015999696,-3.072201492377843,0.425032263888952,0.3847027079687708,0.6167026676289379
3,-0.0954699885959064,148.38011295805995,0.0004156977340702,893.3932387613072,763.2476433829436,3453.3981092056347,1131.6893223768989,0.7282968014087849,-2.1069908142089844,0.416648315412839,-12.512944902528146,0.0881982789057595,-3.2111685459239125,0.4903573108847604,0.3286800695894032,0.6340744673891701
4,-0.0913703533381114,157.16809113607488,0.0003773481700267,907.9664400463496,771.0635861661783,3408.727367663356,1253.3120352407584,0.7299109549864696,-2.0177778005599976,0.4177286658009418,-12.448672248323165,0.1049163650968505,-3.1560467341098257,0.480142643756332,0.3522423775784244,0.773836250013881
5,-0.0910981527428239,160.1782280809586,0.0003126283339169,904.584521756356,768.9254655978516,3391.2938353213976,1265.1951617130314,0.7316465823148326,-1.7926912307739258,0.4149353066718348,-12.524233788249733,0.1016891708012739,-3.2525133636392614,0.4742578085059168,0.36420242333238,0.6619724895914036
6,-0.0899293469750723,144.87495512631537,0.0003334199425617,948.2218893042136,790.4918175440132,2872.215709972738,1115.1461884521011,0.7271884101520526,-1.8822749257087708,0.4210475244512578,-12.298327272910186,0.1429358055453016,-2.9953309042102414,0.4523168512084738,0.333759925147124,0.4841415248061392
7,-0.0935339804899568,171.1441671317928,0.0003503403918231,924.3497989730208,780.2692725247157,3111.9136993303864,1269.100912572172,0.7381521051089384,-1.8711621165275567,0.4119411574225084,-12.44980052629566,0.114019490422757,-3.1116708264501325,0.4609567963614859,0.356774157856711,0.4871946463956066
8,-0.0928078128695084,160.3363717839879,0.0003324969594524,1011.580528520536,821.7730143598509,2644.8987640830524,1287.1817309109574,0.7349005208405481,-2.1115661859512334,0.4071581940192334,-12.510004527084536,0.2140904139433551,-3.181378107077804,0.4274782497282837,0.3305087698198459,0.7824165100555074
9,-0.0885450488476514,144.73450364231158,0.0003320701450703,1011.5173783042688,821.6222682930336,2816.993610815246,1111.872908473803,0.7173773491647133,-1.5837880969047546,0.4179270750451778,-12.396890580567517,0.2003134110787172,-2.9816044962175097,0.4031625159842722,0.3273258906725743,0.7779968728818416
10,-0.0906467387366822,147.05943938462644,0.0002440087804007,1252.6699544620028,931.1594883657536,2360.624331310501,1130.8070169716984,0.7169821263536517,-1.961420714855194,0.411846824460782,-12.291842682423264,0.4095528455284553,-3.151159514421138,0.3342374457736086,0.2865155862781673,0.5220493460276922
11,-0.091014069251563,143.58047132215168,0.0003332446892236,998.3267171095184,815.6709484362942,2836.125934571941,1122.565138111822,0.726940845644319,-2.176290512084961,0.4129256019188991,-12.318888898919448,0.1800787957633195,-3.1071170866821625,0.4402829843999765,0.3220436905970518,0.4821927204322789
12,-0.0899460660243484,159.29668291965694,0.0003272523572767,904.045046306516,771.0411210922754,3457.599389640389,1244.090939162591,0.7313704081573917,-2.0787320137023926,0.4152118033887685,-12.3421294179221,0.0913548711550093,-3.0705877835784494,0.4537303473822255,0.3530061352737372,0.6338584774042846
13,-0.0967083448383972,155.2275252483626,0.0003568002544325,890.4603404929849,762.3706551470343,3501.9578295588844,1271.2606852804906,0.7416013182597045,-1.920390009880066,0.4059601226400492,-12.407485375965214,0.0790939762072288,-3.15588174650138,0.4837758356763354,0.3317402719293424,0.7544616746981365
14,-0.0904836336901626,166.15744769140034,0.0002945276512041,1119.0489278533853,871.7519954883902,1637.9664977537643,1246.5149336529405,0.7276412905916578,-2.213645577430725,0.413118493777256,-12.434070107945551,0.6748148148148149,-3.177356217936373,0.2752011360422253,0.2737353171962293,0.5311749492036711
15,-0.0959930142591281,160.45013451566297,0.0002977750506207,1203.8176505943975,909.8840536945896,2524.0091297790523,1308.7090148578795,0.7321045203550517,-2.1211683750152592,0.4104670990107857,-12.484513145526916,0.7813390313390313,-3.1210636697009617,0.3568387426367541,0.3430432355503256,0.5780025673546401
16,-0.088234255045367,151.08468400743195,0.0003319592414491,931.4153513067356,783.6069060486626,3081.806806531665,1237.3658022657935,0.7409942349188697,-4.158179044723512,0.4137624173326697,-12.304394694291672,0.1254808778959264,-3.121637933908873,0.490539953264875,0.2867796130354317,0.7115559536423601
17,-0.086439505572981,152.6408160928858,0.0003481749205343,900.3987755468493,768.1897007770308,3539.684593518725,1230.4981990653744,0.7238539417120972,-8.460145473480225,0.4133012929524429,-12.33855391242781,0.0897755123714268,-3.016205306577028,0.4706133489221252,0.3733032722053944,0.5151392980146552
18,-0.0821323855567736,153.71922107479168,0.0003651324717433,885.2305228706499,758.8012932351123,3680.969877570824,1200.0367944597983,0.6843183636542061,-14.27495050430298,0.4117802802128617,-12.058684279146236,0.0851924320172684,-2.7490515629292696,0.4710000813206052,0.3837798230883343,0.7987792250264605
19,-0.0890337825702424,143.8771988670822,0.0002388567383043,1524.72957891005,1035.8506173075648,1223.136498170993,1147.0820794181473,0.6833552123525987,-19.50315856933593,0.4166483923105401,-11.299323207088651,0.5,-2.2658021306799565,0.0414662230288516,0.0109179518277881,0.4256771304446356
20,-0.0873656299790188,112.6216183132503,0.0005170483701193,839.4775210559378,726.4470350909168,4436.594004310739,844.1833702345323,0.6532465832497386,-21.964835166931152,0.4114199094418043,-10.512053102590375,0.0856111621676228,-1.8934935195410207,0.4663464018169373,0.4488819689024508,0.6728335122987192
21,-0.093460310975454,107.23319871027222,0.0004328826228241,1042.711420561615,817.4434246973102,2204.896479386165,822.0089190971374,0.6699522251950252,-24.627585411071767,0.411211013782425,-9.33989301542025,0.6123725266362252,-1.5878401801875262,0.3626822900428957,0.2980976280141846,0.4557027908337513
22,-0.0878115767422679,101.7821270451514,0.0005059441095472,995.619920361974,786.8385591088437,2592.450833298094,790.7226947541028,0.6614717363903446,-25.08552360534668,0.4118735009400039,-8.113327816574355,0.5832057057057057,-1.181771797220495,0.3923020796243232,0.3246564154786314,0.4162077537352084
23,-0.0917934640249609,97.44868042361696,0.0006578964104454,813.8505216247177,691.1762253171618,4409.193978261484,694.1922769663192,0.6657986878010178,-23.349730491638184,0.4173922850204872,-6.974722535470113,0.1886947962472222,-0.9184452544713366,0.5335301159033918,0.3455733494643788,0.4762212078482047
24,-0.0878317675886216,76.6549416701062,0.0004447572344015,1218.6537309898338,866.0910402876415,1511.5978838758006,582.2121524640672,0.6384930994613478,-20.67174816131592,0.4091319825342177,-6.035563892785572,0.35,-0.5572666060787215,0.2275475009400831,0.193200293012857,0.3134371243101833
25,-0.086268418458941,77.63984901244105,0.0007240347195004,855.3411406021455,700.1712934815636,3633.260703408424,572.2077710734131,0.6348544755770149,-17.763232231140137,0.4084818374270613,-5.663406193151772,0.3150850802877284,-0.3860547324621217,0.5522953426318107,0.2909208384222782,0.438947041455604
26,-0.0892609132515219,73.46614162510106,0.0006859711809366,924.101934999771,729.0120357654546,2854.640601656821,588.4310775109402,0.6272247660021846,-14.229924201965332,0.4094692638849646,-5.637835021423416,0.4486554421768708,-0.296728471118401,0.5065785681126072,0.3229092332496267,0.3853702625683513
27,-0.0924162461293788,75.40723309379699,0.0006918815522512,910.1753179685924,722.3090340529228,2825.8521251327043,601.092170470837,0.618236899642083,-11.066970825195312,0.4108995694433745,-5.898957521079158,0.4238351851851852,-0.3583374085393573,0.5078262389253809,0.3549406781699969,0.4229077325414542
28,-0.0878475940232018,77.24751165506937,0.0007026389139528,847.9419835037297,694.0432915189142,3580.790674864685,613.7826655855328,0.5965579917936316,-9.151996612548828,0.4107426683241148,-5.9840010409528,0.2838877492924339,-0.3644903605787779,0.5433436260525013,0.4004816094793984,0.4133985945178016
